nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
NORDESTE;2023-09-14;51691.226;36447.233;70.5095
NORTE;2023-09-14;14488.55;11537.016;79.6285
PARANA;2023-09-14;140595.976;108557.594;77.2124
PARANAPANEMA;2023-09-14;11832.754;9384.93;79.3132
SUDESTE;2023-09-14;50972.214;37751.581;74.0631
SUL;2023-09-14;10134.571;9192.19;90.7013
TELES PIRES;2023-09-14;900.655;532.979;59.1768
BELO MONTE;2023-09-15;28.109;18.824;66.9679
IGUACU;2023-09-15;10324.672;9738.473;94.3223
MADEIRA;2023-09-15;313.73;127.72;40.7102
MANAUS-AMAPA;2023-09-15;785.737;482.439;61.3996
NORDESTE;2023-09-15;51691.226;36333.544;70.2896
NORTE;2023-09-15;14488.55;11529.018;79.5733
PARANA;2023-09-15;140595.976;108326.217;77.0479
PARANAPANEMA;2023-09-15;11832.754;9351.829;79.0334
SUDESTE;2023-09-15;50972.214;37664.103;73.8914
SUL;2023-09-15;10134.571;9125.047;90.0388
TELES PIRES;2023-09-15;900.655;530.161;58.8639
BELO MONTE;2023-09-16;28.109;18.602;66.1781
IGUACU;2023-09-16;10324.672;9761.504;94.5454
MADEIRA;2023-09-16;313.73;126.188;40.2218
MANAUS-AMAPA;2023-09-16;785.737;478.38;60.883
NORDESTE;2023-09-16;51691.226;36240.648;70.1099
NORTE;2023-09-16;14488.55;11511.807;79.4545
PARANA;2023-09-16;140595.976;108174.105;76.9397
PARANAPANEMA;2023-09-16;11832.754;9347.159;78.9939
SUDESTE;2023-09-16;50972.214;37582.367;73.7311
SUL;2023-09-16;10134.571;9061.875;89.4155
TELES PIRES;2023-09-16;900.655;532.07;59.0759
BELO MONTE;2023-09-17;28.109;18.378;65.3812
IGUACU;2023-09-17;10324.672;9782.915;94.7528
MADEIRA;2023-09-17;313.73;124.498;39.6832
MANAUS-AMAPA;2023-09-17;785.737;475.947;60.5733
NORDESTE;2023-09-17;51691.226;36143.51;69.9219
NORTE;2023-09-17;14488.55;11495.075;79.339
PARANA;2023-09-17;140595.976;108020.688;76.8306
PARANAPANEMA;2023-09-17;11832.754;9350.572;79.0228
SUDESTE;2023-09-17;50972.214;37508.757;73.5867
SUL;2023-09-17;10134.571;9024.342;89.0451
TELES PIRES;2023-09-17;900.655;533.889;59.2779
BELO MONTE;2023-09-18;28.109;18.045;64.1965
IGUACU;2023-09-18;10324.672;9727.993;94.2208
MADEIRA;2023-09-18;313.73;122.428;39.0234
MANAUS-AMAPA;2023-09-18;785.737;470.842;59.9236
NORDESTE;2023-09-18;51691.226;36046.575;69.7344
NORTE;2023-09-18;14488.55;11460.807;79.1025
PARANA;2023-09-18;140595.976;107498.721;76.4593
PARANAPANEMA;2023-09-18;11832.754;9289.396;78.5058
SUDESTE;2023-09-18;50972.214;37372.68;73.3197
SUL;2023-09-18;10134.571;8971.963;88.5283
TELES PIRES;2023-09-18;900.655;528.342;58.662
BELO MONTE;2023-09-19;28.109;17.828;63.4245
IGUACU;2023-09-19;10324.672;9677.176;93.7287
MADEIRA;2023-09-19;313.73;120.057;38.2676
MANAUS-AMAPA;2023-09-19;785.737;466.795;59.4086
NORDESTE;2023-09-19;51691.226;35951.79;69.551
NORTE;2023-09-19;14488.55;11412.496;78.7691
PARANA;2023-09-19;140595.976;107063.874;76.15
PARANAPANEMA;2023-09-19;11832.754;9231.705;78.0182
SUDESTE;2023-09-19;50972.214;37255.858;73.0905
SUL;2023-09-19;10134.571;8990.888;88.715
TELES PIRES;2023-09-19;900.655;515.258;57.2093
BELO MONTE;2023-09-20;28.109;17.449;62.0762
IGUACU;2023-09-20;10324.672;9641.601;93.3841
MADEIRA;2023-09-20;313.73;118.227;37.6843
MANAUS-AMAPA;2023-09-20;785.737;464.611;59.1306
NORDESTE;2023-09-20;51691.226;35853.983;69.3618
NORTE;2023-09-20;14488.55;11358.913;78.3992
PARANA;2023-09-20;140595.976;106775.488;75.9449
PARANAPANEMA;2023-09-20;11832.754;9175.426;77.5426
SUDESTE;2023-09-20;50972.214;37134.719;72.8529
SUL;2023-09-20;10134.571;9040.327;89.2029
TELES PIRES;2023-09-20;900.655;508.72;56.4833
BELO MONTE;2023-09-21;28.109;17.074;60.7421
IGUACU;2023-09-21;10324.672;9589.015;92.8748
MADEIRA;2023-09-21;313.73;115.307;36.7536
MANAUS-AMAPA;2023-09-21;785.737;462.59;58.8734
NORDESTE;2023-09-21;51691.226;35736.948;69.1354
NORTE;2023-09-21;14488.55;11307.945;78.0475
PARANA;2023-09-21;140595.976;106365.073;75.653
PARANAPANEMA;2023-09-21;11832.754;9116.663;77.046
SUDESTE;2023-09-21;50972.214;37026.025;72.6396
SUL;2023-09-21;10134.571;9054.706;89.3447
TELES PIRES;2023-09-21;900.655;499.373;55.4455
BELO MONTE;2023-09-22;28.109;16.865;59.9986
IGUACU;2023-09-22;10324.672;9511.88;92.1277
MADEIRA;2023-09-22;313.73;113.27;36.1043
MANAUS-AMAPA;2023-09-22;785.737;460.086;58.5547
NORDESTE;2023-09-22;51691.226;35620.406;68.91
NORTE;2023-09-22;14488.55;11244.604;77.6103
PARANA;2023-09-22;140595.976;105915.158;75.333
PARANAPANEMA;2023-09-22;11832.754;9057.122;76.5428
SUDESTE;2023-09-22;50972.214;36901.663;72.3956
SUL;2023-09-22;10134.571;9054.578;89.3435
TELES PIRES;2023-09-22;900.655;493.75;54.8212
BELO MONTE;2023-09-23;28.109;16.707;59.4365
IGUACU;2023-09-23;10324.672;9460.937;91.6343
MADEIRA;2023-09-23;313.73;111.608;35.5745
MANAUS-AMAPA;2023-09-23;785.737;458.067;58.2978
NORDESTE;2023-09-23;51691.226;35495.79;68.6689
NORTE;2023-09-23;14488.55;11190.84;77.2392
PARANA;2023-09-23;140595.976;105550.263;75.0735
