nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
JACUI;2022-06-26;3029.35400390625;2746.654052734375;90.66799926757812
JEQUITINHONHA;2022-06-26;2967.7880859375;2552.56689453125;86.00910186767578
PARAGUACU;2022-06-26;335.38299560546875;292.5539855957031;87.22979736328125
PARAGUAI;2022-06-26;555.7979736328125;459.68701171875;82.70760345458984
PARAIBA DO SUL;2022-06-26;7554.89697265625;3735.305908203125;49.44219970703125
PARANA;2022-06-26;3691.574951171875;2195.9208984375;59.48469924926758
PARANAIBA;2022-06-26;78500.9453125;48439.53125;61.7056999206543
PARANAPANEMA;2022-06-26;12094.4912109375;7132.9990234375;58.977298736572266
PARNAIBA;2022-06-26;264.1780090332031;255.31100463867188;96.64360046386719
SAO FRANCISCO;2022-06-26;52727.2109375;48122.04296875;91.26609802246094
TIETE;2022-06-26;9725.24609375;7218.1259765625;74.22049713134766
TOCANTINS;2022-06-26;49880.60546875;36653.4375;73.4822998046875
URUGUAI;2022-06-26;5928.34814453125;5948.05517578125;100.3323974609375
AMAZONAS;2022-06-27;2028.23095703125;1673.052001953125;82.48819732666016
CAPIVARI;2022-06-27;374.95599365234375;243.07699584960938;64.8281021118164
DOCE;2022-06-27;12.89900016784668;9.314000129699707;72.20709991455078
GRANDE;2022-06-27;51476.95703125;38521.1796875;74.83190155029297
IGUACU;2022-06-27;10062.9345703125;9653.099609375;95.92729949951172
JACUI;2022-06-27;3029.35400390625;2754.447021484375;90.92520141601562
JEQUITINHONHA;2022-06-27;2967.7880859375;2550.06298828125;85.92469787597656
PARAGUACU;2022-06-27;335.38299560546875;290.7250061035156;86.68450164794922
PARAGUAI;2022-06-27;555.7979736328125;458.6940002441406;82.52890014648438
PARAIBA DO SUL;2022-06-27;7554.89697265625;3723.0810546875;49.280399322509766
PARANA;2022-06-27;3691.574951171875;2195.9208984375;59.48469924926758
PARANAIBA;2022-06-27;78500.9453125;48399.6328125;61.65480041503906
PARANAPANEMA;2022-06-27;12094.4912109375;7142.38623046875;59.054901123046875
PARNAIBA;2022-06-27;264.1780090332031;254.88800048828125;96.4833984375
SAO FRANCISCO;2022-06-27;52727.2109375;48062.81640625;91.15370178222656
TIETE;2022-06-27;9725.24609375;7212.7490234375;74.16519927978516
TOCANTINS;2022-06-27;49880.60546875;36630.0390625;73.4354019165039
URUGUAI;2022-06-27;5928.34814453125;5935.21484375;100.11579895019531
AMAZONAS;2022-06-28;2028.23095703125;1660.5450439453125;81.87159729003906
CAPIVARI;2022-06-28;374.95599365234375;239.08200073242188;63.762699127197266
DOCE;2022-06-28;12.89900016784668;9.373000144958496;72.66449737548828
GRANDE;2022-06-28;51476.95703125;38417.08984375;74.62969970703125
IGUACU;2022-06-28;10062.9345703125;9608.9873046875;95.48889923095703
JACUI;2022-06-28;3029.35400390625;2747.35205078125;90.69100189208984
JEQUITINHONHA;2022-06-28;2967.7880859375;2547.8720703125;85.85089874267578
PARAGUACU;2022-06-28;335.38299560546875;289.37799072265625;86.28279876708984
PARAGUAI;2022-06-28;555.7979736328125;457.70098876953125;82.3501968383789
PARAIBA DO SUL;2022-06-28;7554.89697265625;3707.658935546875;49.07619857788086
PARANA;2022-06-28;3691.574951171875;2195.9208984375;59.48469924926758
PARANAIBA;2022-06-28;78500.9453125;48361.1015625;61.60580062866211
PARANAPANEMA;2022-06-28;12094.4912109375;7147.5810546875;59.097801208496094
PARNAIBA;2022-06-28;264.1780090332031;254.88800048828125;96.4833984375
SAO FRANCISCO;2022-06-28;52727.2109375;48005.515625;91.04509735107422
TIETE;2022-06-28;9725.24609375;7198.31396484375;74.01679992675781
TOCANTINS;2022-06-28;49880.60546875;36582.23828125;73.339599609375
URUGUAI;2022-06-28;5928.34814453125;5940.59814453125;100.20659637451172
AMAZONAS;2022-06-29;2028.23095703125;1654.3470458984375;81.56600189208984
CAPIVARI;2022-06-29;374.95599365234375;238.8560028076172;63.70240020751953
DOCE;2022-06-29;12.89900016784668;9.432000160217285;73.12190246582031
GRANDE;2022-06-29;51476.95703125;38309.046875;74.4197998046875
IGUACU;2022-06-29;10062.9345703125;9556.2861328125;94.96520233154297
JACUI;2022-06-29;3029.35400390625;2736.013916015625;90.31670379638672
JEQUITINHONHA;2022-06-29;2967.7880859375;2545.368896484375;85.7665023803711
PARAGUACU;2022-06-29;335.38299560546875;288.4809875488281;86.0154037475586
PARAGUAI;2022-06-29;555.7979736328125;456.59100341796875;82.15049743652344
PARAIBA DO SUL;2022-06-29;7554.89697265625;3694.385986328125;48.9005012512207
PARANA;2022-06-29;3691.574951171875;2203.694091796875;59.6952018737793
PARANAIBA;2022-06-29;78500.9453125;48293.94140625;61.520198822021484
PARANAPANEMA;2022-06-29;12094.4912109375;7153.34814453125;59.14550018310547
PARNAIBA;2022-06-29;264.1780090332031;254.29600524902344;96.2593002319336
SAO FRANCISCO;2022-06-29;52727.2109375;47917.015625;90.877197265625
TIETE;2022-06-29;9725.24609375;7198.8671875;74.02249908447266
TOCANTINS;2022-06-29;49880.60546875;36475.5859375;73.12580108642578
URUGUAI;2022-06-29;5928.34814453125;5943.9140625;100.26260375976562
AMAZONAS;2022-06-30;2028.23095703125;1648.1929931640625;81.26260375976562
CAPIVARI;2022-06-30;374.95599365234375;235.5019989013672;62.807899475097656
DOCE;2022-06-30;12.89900016784668;9.432000160217285;73.12190246582031
GRANDE;2022-06-30;51476.95703125;38185.29296875;74.17939758300781
IGUACU;2022-06-30;10062.9345703125;9500.1982421875;94.40779876708984
JACUI;2022-06-30;3029.35400390625;2730.552978515625;90.1364974975586
JEQUITINHONHA;2022-06-30;2967.7880859375;2543.178955078125;85.69270324707031
