nom_reservatorioee;ena_data;ena_bruta_ree_mwmed;ena_bruta_ree_percentualmlt;ena_armazenavel_ree_mwmed;ena_armazenavel_ree_percentualmlt
SUDESTE;2023-01-14;13530.688999999998;132.0596;9926.361;96.8813
SUL;2023-01-14;1548.2910000000002;44.7599;1258.5770000000002;36.3845
TELES PIRES;2023-01-14;3610.1679999999997;108.5283;2670.879;80.2916
BELO MONTE;2023-01-15;7965.802000000001;142.113;7894.975;140.8494
IGUACU;2023-01-15;3795.194;91.6549;3623.074;87.4982
ITAIPU;2023-01-15;4038.79944;119.2913;1547.4586399999998;45.7062
MADEIRA;2023-01-15;5496.916;67.1423;3521.188;43.0097
MANAUS-AMAPA;2023-01-15;722.256;145.601;546.152;110.0999
NORDESTE;2023-01-15;13404.277999999998;99.8047;8207.798999999999;61.1131
NORTE;2023-01-15;11202.726999999999;118.9587;10518.242999999999;111.6903
PARANA;2023-01-15;60119.69999199999;163.2878;55528.289591999965;150.8173
PARANAPANEMA;2023-01-15;2825.472568;77.6198;334.13176799999997;9.1791
SUDESTE;2023-01-15;12801.064999999999;124.9384;9758.295999999998;95.241
SUL;2023-01-15;1953.8659999999998;56.4848;1438.97;41.5996
TELES PIRES;2023-01-15;3545.2819999999997;106.5777;2123.5860000000002;63.8389
BELO MONTE;2023-01-16;8059.474;143.7842;7964.641;142.0923
IGUACU;2023-01-16;4025.771;97.2234;3881.0120000000006;93.7274
ITAIPU;2023-01-16;4202.75466;124.1339;2191.8574599999997;64.7394
MADEIRA;2023-01-16;5391.844000000001;65.8589;4622.280000000001;56.459
MANAUS-AMAPA;2023-01-16;762.7379999999999;153.7619;607.1300000000001;122.3926
NORDESTE;2023-01-16;13432.106;100.0119;9237.069;68.7768
NORTE;2023-01-16;11328.689999999999;120.2962;11009.868999999999;116.9108
PARANA;2023-01-16;59454.548976000005;161.4812;52627.68737600001;142.9391
PARANAPANEMA;2023-01-16;3064.612364;84.1893;1051.7871639999998;28.8941
SUDESTE;2023-01-16;12095.600000000002;118.0531;10341.478000000003;100.9329
SUL;2023-01-16;2424.8770000000004;70.1014;2055.748;59.4302
TELES PIRES;2023-01-16;3458.987;103.9835;2455.623;73.8206
BELO MONTE;2023-01-17;8171.023999999999;145.7742;8070.005999999999;143.972
IGUACU;2023-01-17;4297.936000000001;103.7962;4229.102000000001;102.1339
ITAIPU;2023-01-17;4067.4621520000005;120.1379;2444.8125520000003;72.2108
MADEIRA;2023-01-17;5406.842;66.0421;4807.899;58.7263
MANAUS-AMAPA;2023-01-17;824.135;166.139;678.912;136.8632
NORDESTE;2023-01-17;13619.999000000002;101.4109;10155.688;75.6166
NORTE;2023-01-17;11429.027000000002;121.3617;10543.202;111.9554
PARANA;2023-01-17;58367.76464;158.5295;49365.92884000001;134.0801
PARANAPANEMA;2023-01-17;3443.352208;94.5938;1784.923608;49.0344
SUDESTE;2023-01-17;11125.447000000002;108.5844;9290.710000000001;90.6774
SUL;2023-01-17;3124.9789999999994;90.3408;2819.6180000000004;81.5131
TELES PIRES;2023-01-17;3364.4990000000003;101.1431;2304.515;69.278
BELO MONTE;2023-01-18;8476.730000000001;151.2282;8356.074;149.0756
IGUACU;2023-01-18;4532.146;109.4525;3539.3289999999997;85.4757
ITAIPU;2023-01-18;4060.6498920000004;119.9366;2547.611092;75.247
MADEIRA;2023-01-18;5502.537000000001;67.211;4086.682;49.9169
MANAUS-AMAPA;2023-01-18;870.3480000000001;175.4552;699.125;140.938
NORDESTE;2023-01-18;13725.064;102.1932;8910.465000000002;66.345
NORTE;2023-01-18;11461.423;121.7057;9612.585;102.0734
PARANA;2023-01-18;57240.45223599999;155.4676;47663.18183600001;129.4553
PARANAPANEMA;2023-01-18;3165.275872;86.9547;1607.394072;44.1574
SUDESTE;2023-01-18;10108.352000000003;98.6575;8260.823;80.6257
SUL;2023-01-18;3867.522000000001;111.8072;3355.183;96.9959
TELES PIRES;2023-01-18;3274.012;98.4228;2062.583;62.0051
BELO MONTE;2023-01-19;8723.141;155.6242;8583.083999999999;153.1256
IGUACU;2023-01-19;4822.681999999999;116.469;4024.6920000000005;97.1973
ITAIPU;2023-01-19;3828.305728;113.0741;2315.266928;68.3845
MADEIRA;2023-01-19;5629.795;68.7654;4115.464;50.2685
MANAUS-AMAPA;2023-01-19;900.6160000000001;181.557;712.083;143.5503
NORDESTE;2023-01-19;13592.537999999997;101.2065;9178.108999999999;68.3378
NORTE;2023-01-19;11458.319;121.6727;8709.943;92.4885
PARANA;2023-01-19;55859.153312;151.716;46358.40491200001;125.9115
PARANAPANEMA;2023-01-19;2872.35296;78.9077;1349.4121600000003;37.0703
SUDESTE;2023-01-19;9805.667999999996;95.7033;7395.566;72.1807
SUL;2023-01-19;4347.386;125.6797;3719.12;107.517
TELES PIRES;2023-01-19;3260.254;98.0093;2285.5730000000003;68.7085
BELO MONTE;2023-01-20;8825.466999999999;157.4498;8686.772;154.9754
IGUACU;2023-01-20;5151.366;124.4068;4723.434;114.0721
ITAIPU;2023-01-20;3699.8152359999995;109.2789;1906.0908359999996;56.2989
