id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2006-03-31;3305.50360215
NE;Nordeste;2006-03-31;6984.02620968
S;Sul;2006-03-31;8410.28309140
SE;Sudeste/Centro-Oeste;2006-03-31;30646.27965054
N;Norte;2006-04-30;3262.09315278
NE;Nordeste;2006-04-30;6718.55509722
S;Sul;2006-04-30;7658.64341667
SE;Sudeste/Centro-Oeste;2006-04-30;28994.79536111
N;Norte;2006-05-31;3351.24337366
NE;Nordeste;2006-05-31;6643.10471774
S;Sul;2006-05-31;7663.54044197
SE;Sudeste/Centro-Oeste;2006-05-31;28369.73352151
N;Norte;2006-06-30;3396.61101389
NE;Nordeste;2006-06-30;6526.42406944
S;Sul;2006-06-30;7682.02362500
SE;Sudeste/Centro-Oeste;2006-06-30;28456.18194444
N;Norte;2006-07-31;3324.30041667
NE;Nordeste;2006-07-31;6544.46450806
S;Sul;2006-07-31;7612.42004032
SE;Sudeste/Centro-Oeste;2006-07-31;28707.09936290
N;Norte;2006-08-31;3437.60002688
NE;Nordeste;2006-08-31;6829.50091398
S;Sul;2006-08-31;7741.26487903
SE;Sudeste/Centro-Oeste;2006-08-31;29679.78815860
N;Norte;2006-09-30;3412.26218056
NE;Nordeste;2006-09-30;7018.97746250
S;Sul;2006-09-30;7499.72676389
SE;Sudeste/Centro-Oeste;2006-09-30;29081.09865417
N;Norte;2006-10-31;3420.35197984
NE;Nordeste;2006-10-31;7196.41282796
S;Sul;2006-10-31;7762.99086022
SE;Sudeste/Centro-Oeste;2006-10-31;29255.40004704
N;Norte;2006-11-30;3389.90952778
NE;Nordeste;2006-11-30;7228.42976389
S;Sul;2006-11-30;7820.44427778
SE;Sudeste/Centro-Oeste;2006-11-30;29796.29875000
N;Norte;2006-12-31;3401.54284005
NE;Nordeste;2006-12-31;7279.08992204
S;Sul;2006-12-31;7980.37952957
SE;Sudeste/Centro-Oeste;2006-12-31;29725.43664651
N;Norte;2007-01-31;3420.17568548
NE;Nordeste;2007-01-31;7439.26264785
S;Sul;2007-01-31;8349.92896505
SE;Sudeste/Centro-Oeste;2007-01-31;29960.04143817
N;Norte;2007-02-28;3313.04961310
NE;Nordeste;2007-02-28;7080.92162202
S;Sul;2007-02-28;8529.34017857
SE;Sudeste/Centro-Oeste;2007-02-28;30970.75052083
N;Norte;2007-03-31;3390.01757930
NE;Nordeste;2007-03-31;7157.69465188
S;Sul;2007-03-31;8767.48184140
SE;Sudeste/Centro-Oeste;2007-03-31;32676.08855645
N;Norte;2007-04-30;3481.11723611
NE;Nordeste;2007-04-30;7124.76448611
S;Sul;2007-04-30;8177.31563889
SE;Sudeste/Centro-Oeste;2007-04-30;31350.05961111
N;Norte;2007-05-31;3537.50020161
NE;Nordeste;2007-05-31;7052.03866935
S;Sul;2007-05-31;7919.78838710
SE;Sudeste/Centro-Oeste;2007-05-31;29881.48794355
N;Norte;2007-06-30;3457.95426389
NE;Nordeste;2007-06-30;6953.36587500
S;Sul;2007-06-30;7838.01492361
SE;Sudeste/Centro-Oeste;2007-06-30;29542.48468056
N;Norte;2007-07-31;3434.06185484
NE;Nordeste;2007-07-31;7028.22764785
S;Sul;2007-07-31;7910.57284005
SE;Sudeste/Centro-Oeste;2007-07-31;29573.75717742
N;Norte;2007-08-31;3526.16393817
NE;Nordeste;2007-08-31;7056.67631720
S;Sul;2007-08-31;8035.01993280
SE;Sudeste/Centro-Oeste;2007-08-31;30566.27726344
N;Norte;2007-09-30;3552.60570833
NE;Nordeste;2007-09-30;7248.92220833
S;Sul;2007-09-30;7889.67738750
SE;Sudeste/Centro-Oeste;2007-09-30;31166.00001111
N;Norte;2007-10-31;3562.31274194
